context,question,answer,source
Deductions on which I can get tax benefit Update my profile details  Assisted filing Downloads Hindu Undivided Family (HUF) Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Assisted filing Downloads Company  Domestic Company Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Foreign Company Guidance to file Tax return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Non-Company  AOP/BOI/Trust/AJP Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Firm/LLP Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Local Authority Guidance to file Tax," **What are the tax return filing options available for a Hindu Undivided Family (HUF) on the income tax portal?**

"," **Guidance to file Tax Return, Return/Forms applicable, Tax slabs, and Deductions for tax benefits**",https://www.incometax.gov.in/iec/foportal/help/e-filing-itr1-form-sahaj-faq
Register ‌  HomeIndividual/HUFSalaried EmployeesGuidance to file Tax ReturnReturn / Forms applicable to meTax slabsDeductions on which I can get tax benefitUpdate my profile detailsAssisted filingDownloadsBusiness/ProfessionGuidance to file Tax ReturnReturn / Forms applicable to meTax slabsDeductions on which I can get tax benefitUpdate my profile detailsAssisted filingDownloadsSenior / Super Senior CitizenGuidance to file Tax ReturnReturn / Forms applicable to me Tax slabsDeductions on which I can get tax benefitUpdate my profile detailsAssisted filingDownloadsNon ResidentGuidance to file Tax ReturnReturn / Forms applicable to meTax slabsDeductions on which I can get tax benefitUpdate my profile details Assisted filingDownloadsHindu Undivided Family (HUF)Guidance to file Tax ReturnReturn / Forms applicable to meTax slabsDeductions on which I can get tax benefitUpdate my profile detailsAssisted filingDownloadsCompanyDomestic CompanyGuidance to file Tax ReturnReturn / Forms applicable," **What are the tax filing categories available for individuals on the Indian income tax portal?**

"," **Individual/HUF (Salaried Employees, Senior/Super Senior Citizen, Non-Resident), Hindu Undivided Family (HUF), Business/Profession, and Domestic Company.**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"Nil ₹ 3,00,001 - ₹ 7,00,000** 5% above ₹ 3,00,000 Nil ₹ 5,00,001 - ₹ 10,00,000 ₹ 10,000 + 20% above ₹ 5,00,000 Nil ₹ 7,00,001 - ₹ 10,00,000 ₹ 20,000 + 10% above ₹ 7,00,000 Nil ₹ 10,00,001- ₹ 50,00,000 ₹ 1,10,000 + 30% above ₹ 10,00,000 Nil ₹ 10,00,001 - ₹ 12,00,000 ₹ 50,000 + 15% above ₹ 10,00,000 Nil ₹ 50,00,001- ₹ 100,00,000 ₹ 1,10,000 + 30% above ₹ 10,00,000 10% ₹ 12,00,001 - ₹ 15,00,000 ₹ 80,000 + 20% above ₹ 12,00,000 Nil ₹ 100,00,001- ₹ 200,00,000 ₹ 1,10,000 + 30% above ₹ 10,00,000 15% ₹ 15,00,001- ₹ 50,00,000 ₹ 1,40,000 + 30% above ₹ 15,00,000 Nil ₹ 200,00,001- ₹ 500,00,000 ₹ 1,10,000 + 30% above ₹ 10,00,000 25% ₹ 50,00,001- ₹ 100,00,000 ₹ 1,40,000 + 30% above ₹ 15,00,000 10% Above ₹ 500,00,000 ₹ 1,10,000 + 30% above ₹ 10,00,000 37% ₹ 100,00,001- ₹ 200,00,000 ₹ 1,40,000 + 30% above ₹ 15,00,000 15%       Above ₹ ₹ 200,00,001 ₹ 1,40,000 + 30% above ₹ 15,00,000 25% Tax rates for Individual (resident or non-resident) 80 years of age or more anytime during the previous year are"," **What is the income tax rate for individuals aged 80+ with an annual income between ₹10,00,001 and ₹12,00,000?**

"," **₹50,000 + 15% on income above ₹10,00,000**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxdeductions
Deductions on which I can get tax benefit Update my profile details  Assisted filing Downloads Hindu Undivided Family (HUF) Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Assisted filing Downloads Company  Domestic Company Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Foreign Company Guidance to file Tax return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Non-Company  AOP/BOI/Trust/AJP Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Firm/LLP Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Local Authority Guidance to file Tax," **What are the tax return filing options available for a Hindu Undivided Family (HUF) on the income tax portal?**

"," **Guidance to file Tax Return, Return / Forms applicable to me, Tax slabs, and Deductions on which tax benefits can be claimed.**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
I can get tax benefit Update my profile details Downloads Local Authority Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Tax Professionals & Others  Chartered Accountants Registration Service Available e-Return Intermediaries API Specifications ERI List External Agency Central & State Government Department/Approved Undertaking Agency RBI Approved Banks Tax Deductor & Collector Registration Service Available Downloads Help Do not have an account?," **""What are the tax deduction options available for claiming tax benefits in India?""**

", **Deductions on which tax benefits can be claimed.**,https://www.incometax.gov.in/iec/foportal/help/all-topics/tax-payer/individual/how-to-file-tax-returns
"Section 24(b) – Deduction from Income from House Property on interest paid on housing loan & housing improvement loan. In case of self- occupied property, the upper limit for deduction of interest paid on housing loan is  ₹ 2 lakh. Interest on loan u/s 24(b) allowable is tabulated below: Nature of Property When loan was taken Purpose of loan Allowable (Maximum limit) Details Required Self-Occupied On or after 1/04/1999 Construction or purchase of house property                             ₹ 2,00,000 •Loan taken from bank / Other than bank
 •Name of the bank / institution / person from whom the loan is taken
 •Loan Account Number of the bank / institution .
 •Date of sanction of loan
 •Total Amount of loan
 •Loan outstanding as on last date of financial year"," **What is the maximum deduction limit for interest on a housing loan for a self-occupied property under Section 24(b)?**

", **₹2 lakh**,https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"Marginal relief can be claimed from surcharge if the amount of income earned exceeding ₹ 50 lakhs, ₹ 1 crore, ₹ 2 crore or ₹ 5 crores respectively under old tax regime and the amount of income earned exceeding ₹ 50 lakhs, ₹ 1 crore, ₹ 2 crore respectively under new tax regime as under: Net Income Range Marginal Relief  Exceeds (Rs.) Does not exceed (Rs.)"," **What are the income thresholds for claiming marginal relief from surcharge under the old tax regime in India?**

"," **₹50 lakhs, ₹1 crore, ₹2 crores, and ₹5 crores.**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"Total Amount of loan
Loan outstanding as on date
Interest amount
 
14. What is Advance Tax?
For salaried individuals, advance tax is mostly taken care of through TDS by employers. But other forms of income such as interest on savings bank accounts, fixed deposits, rental income, bonds, or capital gains increase the tax liability. Tax liability needs to be estimated beforehand. If tax amounts to more than ₹10,000/- per year, taxpayers need to pay advance tax in quarterly instalments (June, September, December and March).
 
15. How is Advance Tax and Self-Assessment Tax calculated and paid?
Advance Tax: Advance Tax for individuals is calculated as given below​​:"," **What is the minimum annual tax amount that requires payment of advance tax in India?**

"," **₹10,000**",https://www.incometax.gov.in/iec/foportal/help/e-filing-itr1-form-sahaj-faq
"Name of the Insurer (Insurance Company)
Policy Number
Health Insurance amount
 
29. Do I need to give additional information if I am claiming deductions u/s 80 E, 80 EE, 80 EEA & 80 EEB?
From AY 2025-26 you must give additional information regarding deduction u/s 80 E, 80 EE ,80 EEA and 80 EEB. If you want to claim a deduction under these sections, then you must enter the details below:
Loan taken from
Name of the institution or bank
Loan Account No.
Date of sanction of loan
Total Amount of loans
Loan outstanding as on date
Interest amount
 
30. Do I need to file any form if I am claiming deduction u/s 80 GG ?
From AY 2025-26, If you want to claim deduction u/s 80GG then you have to mandatorily file from 10 BA before filing the return of Income and enter the details (acknowledgement no.) of Form 10 BA in Schedule 80 GG while filing the return of Income.
 
31. Is there any change in TDS schedule of ITR 4 for AY 2025-26?"," **What form must be filed to claim deduction under section 80GG from AY 2025-26?**

", **Form 10BA**,https://www.incometax.gov.in/iec/foportal/help/e-filing-itr4-form-sugam-faq
"•    Total Amount of loan
•    Loan outstanding as on last date of financial year
•    Interest u/s 80E Section 80G Deduction towards Donations made to prescribed Funds, Charitable Institutions, etc.
Donation are eligible for deduction under the below categories Without any limit  ​ 100% deduction 50% deduction Subject to qualifying limit  ​ 100% deduction 50% deduction  
 
  Note: No deduction shall be allowed under this section in respect of donation made in cash exceeding  ₹ 2000/-
  Section 80GG Deduction towards rent paid for house & applicable to only those who are self-employed or for whom HRA is not part of Salary"," **What is the maximum cash donation amount eligible for deduction under Section 80G?**

"," **₹2,000**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"​ ₹ 25,000 (₹50,000 if any person is a Senior Citizen) ₹ 5,000 for preventive health check up, included in above limit"," **What is the maximum tax deduction limit for preventive health check-up under Section 80D in India?**

"," **₹5,000**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"•    Loan outstanding as on last date of financial year
•    Interest u/s 80E
  Section 80EEA Deduction available only to individuals  towards interest payments made on loan taken for acquisition of residential house property for the first time where the loan is sanctioned between 1st April 2019 to 31st March 2022 & deduction should not have been claimed u/s 80EE   Deduction limit of₹ 1,50,000
 on the interest paid on loan taken  Note:
For claiming deduction under section 80E, below details need to be provided in ITR :
•    Loan taken from bank / institution
•    Name of the institution / bank from which the loan is taken
•    Loan Account Number of the bank / institution
•    Date of sanction of loan
•    Total Amount of loan
•    Loan outstanding as on last date of financial year
•    Interest u/s 80E"," **What is the maximum deduction limit under Section 80EEA for home loan interest?**

"," **₹1,50,000**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"(b) has short term capital gain
 (c ) has Long-term capital gain u/s 112A exceeding Rs.1.25 lakhs
 (d) has held any unlisted equity shares at any time during the previous year 
 (e) has any asset (including financial interest in any entity) located outside India 
 (f) has signing authority in any account located outside India 
 (g) has income from any source outside India 
 (h) is a person in whose case tax has been deducted u/s 194N 
 (e) is a person in whose case payment or deduction of tax has been deferred on ESOP
 (i) has any brought forward loss or loss to be carried forward under any head of income
(i) has total income exceeding Rs. 50 lakhs."," **What is the threshold for mandatory ITR filing if someone has income from long-term capital gains under Section 112A?**

", **Exceeding ₹1.25 lakhs**,https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"Register
Already have an account?
Login test Search  File ITR-4 (Sugam) Online FAQs
   File ITR-4 (Sugam) Online FAQs
  File ITR-4 (Sugam) Online FAQs 1. Who is eligible to file ITR-4 for AY 2025-26?ITR-4 can be filed by a Resident Individual / HUF / Firm (other than LLP) who has:
Income not exceeding ₹50 Lakh during the FY
Income from Business and Profession which is computed on a presumptive basis u/s 44AD, 44ADA or 44AE
Long-term capital gain u/s 112A not exceeding Rs.1.25 lakhs
Income from Salary/Pension, one House Property, Agricultural Income (up to ₹ 5000/-)
Other Sources which include (excluding winning from Lottery and Income from Race Horses): 
Interest from Savings Account
Interest from Deposit (Bank / Post Office / Cooperative Society)
Interest from Income Tax Refund
Family Pension
Interest received on enhanced compensation
Any other Interest Income (e.g., Interest Income from Unsecured Loan)  
2. Who is not eligible to file ITR-4 for AY 2025-26?"," **What is the maximum income limit to file ITR-4 (Sugam) for AY 2025-26?**

", **₹50 lakh**,https://www.incometax.gov.in/iec/foportal/help/e-filing-itr4-form-sugam-faq
when Salary is paid in arrears or advance Provided by Details provided in the form An Employee to the Income Tax Department Arrears / Advance Salary," **""Is salary paid in arrears or advance reported to the Income Tax Department by the employee or employer?""**

", **The employee provides the details to the Income Tax Department.**,https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"Tax rates for Individual (resident or non-resident), 60 years or more but less than 80 years of age anytime during the previous year are as under:
  Old Tax Regime Default Tax Regime u/s 115BAC(1A) Income Tax Slab Income Tax Rate *Surcharge Income Tax Slab Income Tax Rate *Surcharge Up to ₹ 3,00,000 Nil Nil Up to ₹ 3,00,000 Nil Nil ₹ 3,00,001 - ₹ 5,00,000** 5% above ₹ 3,00,000"," **What is the income tax rate for senior citizens (60-80 years) earning between ₹3,00,001 and ₹5,00,000 under the old tax regime?**

"," **5% on income above ₹3,00,000**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxdeductions
"​​  2. ITR-2 - Applicable for Individual (Not eligible for ITR 1) and HUF This return is applicable for Individual and Hindu Undivided Family (HUF) Having Income under any head other than Profits and Gains of Business or Profession. Who is not eligible for filing ITR-1   3. ITR-3- Applicable for Individual and HUF This return is applicable for Individual and Hindu Undivided Family (HUF) Having Income under the head Profits and Gains of Business or Profession Who is not eligible for filing ITR-1, ITR-2 or ITR-4   4. ITR-4 (SUGAM) – Applicable for Individual, HUF and Firm (other than LLP) This return is applicable for an Individual or Hindu Undivided Family (HUF), who is Resident other than Not Ordinarily Resident or a Firm (other than LLP) which is a Resident having Total Income under Business or Profession which is computed on a presumptive basis (u/s 44AD / 44ADA / 44AE) and income from any of the following sources: Salary / Pension One House Property Other sources (Interest, Family"," **Which ITR form should a resident individual with business income calculated under presumptive taxation (Section 44AD) file?**

", **ITR-4 (SUGAM)**,https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"purpose of Computing Tax Payable / Refundable   3. Form 16A – Certificate u/s 203 of the Income Tax Act, 1961 for TDS on Income other than Salary Provided by Details provided in the form Deductor to Deductee Form 16A is a Tax Deducted at Source (TDS) Certificate issued quarterly that captures the amount of TDS, Nature of Payments and the TDS Payments deposited with the Income Tax Department   4. Form 67- Statement of Income from a country or specified territory outside India and Foreign Tax Credit Submitted by Details provided in the form Taxpayer on or before the due date specified for furnishing the ITRs u/s 139(1) Income from a country or specified territory outside India and Foreign Tax Credit claimed   5.  Form 26 AS  AIS  (Annual information Statement) Provided by:"," **What is Form 16A used for in income tax?**

"," **Form 16A is a TDS (Tax Deducted at Source) certificate issued quarterly that shows the TDS amount, nature of payments, and TDS deposited with the Income Tax Department for income other than salary.**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxableincome
"Note:2  ITR-4 (Sugam) is not mandatory. It is a simplified return form to be used by an Assessee, at his option, if he is eligible to declare Profits and Gains from Business or Profession on presumptive basis u/s 44AD, 44ADA or 44AE.  Forms Applicable 1. Form 12BB - Particulars of claims by an employee for deduction of tax (u/s 192) Provided by Details provided in the form An Employee to his Employer(s) Evidence or particulars of HRA, LTC, Deduction of Interest on home loan, Tax Saving Claims / Deductions on eligible payments or investments for the purpose of calculating Tax to be Deducted at Source (TDS)     2. Form 16 - Certificate of Tax Deducted at Source on Salary (U/s 203 of the Income Tax Act, 1961) Provided by Details provided in the form An Employer(s) to his Employee at the end of the financial year Income of employee, Deductions / Exemptions and Tax Deducted at Source for the purpose of Computing Tax Payable / Refundable   3. Form 16A – Certificate u/s 203 of the Income Tax"," **What is the purpose of Form 12BB in income tax filing?**

"," **Form 12BB is used by an employee to provide details (like HRA, LTC, home loan interest, and tax-saving deductions) to their employer for calculating Tax Deducted at Source (TDS) under Section 192.**",https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1#taxdeductions
Deductions on which I can get tax benefit Update my profile details  Assisted filing Downloads Hindu Undivided Family (HUF) Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Assisted filing Downloads Company  Domestic Company Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Foreign Company Guidance to file Tax return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Non-Company  AOP/BOI/Trust/AJP Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Firm/LLP Guidance to file Tax Return Return / Forms applicable to me Tax slabs Deductions on which I can get tax benefit Update my profile details Downloads Local Authority Guidance to file Tax," **What are the tax return filing categories available for non-company entities in India?**

"," **AOP/BOI/Trust/AJP, Firm/LLP, and Local Authority.**",https://www.incometax.gov.in/iec/foportal/help/all-topics/tax-payer/individual/how-to-file-tax-returns
